Name ,Team ,Current,Tenure ,College,Degree Name,Pro,NCAA,Job History,Job History II,Job History III,Job History IV,Job History V,Job History VI,Job History VII,Promoted After Tenure,Masters
Rob Pelinka,Lakers,Y,8,Michigan,Business Admin,N,Y,"Agent, NBA",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,JD
Anthony Parker,Magic,Y,1,Bradley,Liberal Arts,Y,Y,"GM, GL","Scout, NBA",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Nico Harrison,Mavericks,Y,3,Montana State,Biology,Y,Y,"VPoBO, Nike",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Sean Marks,Nets,Y,9,Berkley,Poli Sci,Y,Y,"AGM, NBA","Asst Coach, NBA","GM, GL","DoBO, NBA","BOA, NBA",Unknown,Unknown,Unknown,Unknown
Calvin Booth,Nuggets,Y,5,Penn State,Unknown,Y,Y,"AGM, NBA","DoPP, NBA","Scout, NBA","DoPp, NBA","Scout, NBA",Unknown,Unknown,Unknown,Unknown
Chad Buchanan,Pacers,Y,7,Simpson,Business Mgmt,N,Y,"AGM, NBA","GM, NBA","DoCS, NBA","Scout, NBA",Unknown,Unknown,Unknown,Unknown,MA
Bryson Graham,Pelicans,Y,0,TAMU,HR,N,Y,"AGM, NBA","DoCS, NBA","SC, NBA","Video Coord, NBA","BOa, NBA","PDD, NBA","FOi, NBA",Unknown,Unknown
Trajan Langdon*,Pistons,Y,0,Duke,Mathematics,Y,Y,"GM, NBA","AGM, NBA","DoPA, NBA","Scout, NBA",Unknown,Unknown,Unknown,Unknown,Unknown
Bobby Webster,Raptors,Y,7,UCSB,Economics,N,N,"AGM, NBA","VPoBS, NBA","VPoBMaS, NBA",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Rafael Stone ,Rockets,Y,4,Williams ,Poli Sci,N,Y,"EVPoBO, NBA","GC, NBA",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,JD
Brian Wright ,Spurs,Y,5,La Sierra ,Business,N,Y,"AGM, NBA","AGM, NBA","DoCS, NBA","SC, NBA",Unknown,Unknown,Unknown,Unknown,MSBM
James Jones,Suns,Y,6,Miami,Finance,Y,Y,"VPoBO, NBA",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"PoBO, NBA",Unknown
Sam Presti,Thunder,Y,17,Emerson,Communications,N,Y,"AGM, NBA","DoPP, NBA","ADoS, NBA","BOa, NBA","Video Intern, NBA",Unknown,Unknown,"EVP, NBA",Unknown
Matt Lloyd,Timberwolves,Y,0,UIC,Unknown,N,N,"SVPoBO, NBA","AGM, NBA","DoCS, NBA","SMoBO, NBA","Scout, NBA","Media Coord, NBA",Unknown,Unknown,Unknown
Joe Cronin ,Trail Blazers,Y,3,Northern Col,Unknown,N,Y,"DoPP, NBA","PSaSCA, NBA","BOM, NBA","Scout, NBA",Unknown,Unknown,Unknown,Unknown,MA
Mike Dunleavy,Warriors,Y,1,Duke,History,Y,Y,"AGM, NBA","Scout, NBA",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Will Dawkins ,Wizards,Y,1,Emerson,Broadcast Journalism,N,Y,"VPoBO, NBA","VPoIaI, NBA","DoCPP, NBA","SC, NBA","VC, NBA","FOi, NBA",Unknown,Unknown,Unknown
Bryan Colangelo,76ers,N,2,Cornell,Business Economics,N,Y,"GM, NBA","GM, NBA","GM, NBA",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
